Id,Code_18,EU_ID,Description,East_1K,North_1K
336,231,EU_1595003,Pastures,500000,255000
337,231,EU_1595003,Pastures,500000,255000
338,231,EU_1595003,Pastures,500000,256000
339,231,EU_1595003,Pastures,500000,256000
340,231,EU_1595003,Pastures,500000,256000
341,231,EU_1595003,Pastures,499000,255000
342,231,EU_1595003,Pastures,499000,255000
343,231,EU_1595003,Pastures,499000,255000
344,231,EU_1595003,Pastures,499000,256000
345,231,EU_1595003,Pastures,499000,256000
346,231,EU_1595097,Pastures,500000,259000
347,231,EU_1595097,Pastures,500000,259000
348,231,EU_1595097,Pastures,499000,259000
349,231,EU_1595097,Pastures,499000,259000
350,231,EU_1595097,Pastures,499000,259000
351,231,EU_1595097,Pastures,499000,257000
352,231,EU_1595097,Pastures,499000,257000
353,231,EU_1595097,Pastures,499000,257000
354,231,EU_1595097,Pastures,499000,257000
355,231,EU_1595097,Pastures,499000,258000
356,231,EU_1595097,Pastures,499000,258000
357,231,EU_1595097,Pastures,499000,258000
358,231,EU_1595097,Pastures,499000,258000
359,231,EU_1595097,Pastures,500000,256000
360,231,EU_1595097,Pastures,500000,256000
361,231,EU_1595097,Pastures,500000,256000
362,231,EU_1595097,Pastures,500000,258000
363,231,EU_1595097,Pastures,500000,258000
364,231,EU_1595097,Pastures,500000,258000
365,231,EU_1595097,Pastures,501000,256000
366,231,EU_1595097,Pastures,501000,256000
367,231,EU_1595097,Pastures,501000,256000
368,311,EU_1605023,Broad-leaved forest,498000,259000
369,311,EU_1605023,Broad-leaved forest,498000,259000
370,311,EU_1605023,Broad-leaved forest,497000,259000
371,311,EU_1605023,Broad-leaved forest,497000,259000
372,512,EU_1625345,Water bodies,500000,258000
373,512,EU_1625345,Water bodies,500000,258000
374,512,EU_1625345,Water bodies,500000,258000
375,121,EU_1577243,Industrial or commercial units,495000,259000
376,121,EU_1577243,Industrial or commercial units,495000,259000
377,121,EU_1577243,Industrial or commercial units,495000,260000
378,121,EU_1577243,Industrial or commercial units,495000,260000
379,121,EU_1577243,Industrial or commercial units,496000,260000
380,121,EU_1577243,Industrial or commercial units,496000,260000
381,231,EU_1594871,Pastures,492000,251000
382,231,EU_1594871,Pastures,492000,251000
383,231,EU_1594871,Pastures,492000,251000
384,231,EU_1594871,Pastures,492000,251000
385,231,EU_1594871,Pastures,492000,252000
386,231,EU_1594871,Pastures,492000,252000
387,231,EU_1594871,Pastures,492000,252000
388,231,EU_1594871,Pastures,493000,250000
389,231,EU_1594871,Pastures,493000,251000
390,231,EU_1594871,Pastures,493000,251000
391,231,EU_1594871,Pastures,493000,251000
392,231,EU_1594871,Pastures,493000,251000
393,112,EU_1572337,Discontinuous urban fabric,493000,252000
394,142,EU_1583360,Sport and leisure facilities,493000,252000
395,231,EU_1594871,Pastures,493000,252000
396,112,EU_1572337,Discontinuous urban fabric,493000,252000
397,142,EU_1583360,Sport and leisure facilities,493000,252000
398,231,EU_1594871,Pastures,493000,252000
399,112,EU_1572337,Discontinuous urban fabric,493000,252000
400,142,EU_1583360,Sport and leisure facilities,493000,252000
401,231,EU_1594871,Pastures,493000,252000
402,142,EU_1583360,Sport and leisure facilities,493000,253000
403,142,EU_1583360,Sport and leisure facilities,493000,253000
404,231,EU_1594871,Pastures,494000,250000
405,142,EU_1583342,Sport and leisure facilities,494000,251000
406,231,EU_1594871,Pastures,494000,251000
407,142,EU_1583342,Sport and leisure facilities,494000,251000
408,231,EU_1594871,Pastures,494000,251000
409,112,EU_1572337,Discontinuous urban fabric,494000,252000
410,142,EU_1583342,Sport and leisure facilities,494000,252000
411,142,EU_1583360,Sport and leisure facilities,494000,252000
412,231,EU_1594871,Pastures,494000,252000
413,142,EU_1583360,Sport and leisure facilities,494000,253000
414,112,EU_1572447,Discontinuous urban fabric,494000,256000
415,112,EU_1572447,Discontinuous urban fabric,494000,256000
416,112,EU_1572447,Discontinuous urban fabric,494000,256000
417,112,EU_1572447,Discontinuous urban fabric,494000,257000
418,231,EU_1595085,Pastures,494000,257000
419,112,EU_1572447,Discontinuous urban fabric,494000,257000
420,231,EU_1595085,Pastures,494000,257000
421,112,EU_1572447,Discontinuous urban fabric,494000,257000
422,231,EU_1595085,Pastures,494000,257000
423,231,EU_1595085,Pastures,494000,258000
424,231,EU_1595085,Pastures,494000,258000
425,142,EU_1583342,Sport and leisure facilities,495000,251000
426,142,EU_1583342,Sport and leisure facilities,495000,251000
427,142,EU_1583342,Sport and leisure facilities,495000,252000
428,142,EU_1583342,Sport and leisure facilities,495000,252000
429,231,EU_1594957,Pastures,495000,254000
430,231,EU_1594957,Pastures,495000,254000
431,112,EU_1572417,Discontinuous urban fabric,495000,255000
432,231,EU_1594957,Pastures,495000,255000
